"Data Source","World Development Indicators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","12/20/2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.078431372549","18.648648648649","12.129840546697","3.9614017267648","7.9628724963361","5.8823529411765","7.3076923076923","8.2039028275587","2.5471426623427","1.1857899876168","7.0468722065743","1.9919883618662","1.2380392830881","7.6165897041888","-2.9712569874202","-3.2736468872626","1.9755472866014","7.9115646719791","1.2143488318025","1.0506066363106","1.800225853688","-0.090707753517691","-10.519747606635","-3.6850295808857","3.4460547504026","-1.3698630136986","4.1982323232323","0.84822780975462","-0.45058576148995","-0.21122510561256","1.3305110371938","",""
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8322778037023","1.4141179802192","11.229714838859","5.357403247546","13.82631953906","3.9249838228452","21.390528405312","14.362441459682","0.4263547928566","12.752287082579","5.600744661319","2.7245433649503","1.45131465458","2.2603142045464","2.6652920463684","1.0306600580433",""
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-4.4000012193617","0","4.2000014283416","6.000002164373","3.4999994895347","2.9000017426512","4.0827486364885","6.1288904762002","0.041621461844258","-3.4500986836048","0.99135930146088","-5.8382807331314","-23.983417442058","1.3393634364799","15.000000028863","13.544369755103","7.2742773546037","4.6911464509355","2.1814897184046","3.0546242343079","4.2059985561951","13.665686523023","2.9898500103955","10.95286176871","15.02891531753","11.547683178163","14.010018242633","11.166138330361","0.85871261509828","4.8592195843694","3.4719813723022","8.5421473370752","4.9545904775587","4.8226255492722","0.94357561305911","-2.5800972403398","-0.14720742624704","-2.1334932567636",""
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.7456352920068","2.9485968015687","1.104938261827","-1.2515966446986","1.7806439597727","5.6372431782519","-0.78784265501294","-1.4200396548225","9.8365489704762","-9.5756401694864","-28.002141656046","-7.1871109163695","9.5594116943475","8.3028665911286","13.32233332008","9.0999994436023","-10.919984085104","8.8300877086977","12.889896733189","6.9500361342292","8.2900700272566","4.5399606404472","5.5300507779332","5.5099986931984","5.5299148092649","5.9000839573806","5.9799820362544","7.4999695602917","3.3500673925498","3.7068914334105","2.5453226514523","1.4175244076934","1.0019887092496","1.7744867713274","2.2187514603463","3.314804753419","3.8210814166987","4.1452379359484",""
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.6494653608188","8.1497434886062","7.7884672029404","5.6187897296295","0.54220565876371","3.3037870495075","2.8385755661009","1.4630001789342","0.041557195129286","2.2087276069305","-0.13247451147458","1.2464611134255","1.7701183169325","1.7846866935682","2.3214330321992","3.2533217783064","5.5471221705381","5.0943262032322","4.8270342440691","3.7813875896292","2.5460028718764","0.9292119562889","-1.0314840109579","2.383187690988","2.7574991873297","4.6497401487506","9.0676721991052","3.1947902960585","4.0990808366341","3.5283612971111","4.5467683197061","6.4710146708279","12.168719886905","7.6478697902199","7.396982715365","4.5363531191599","0.040011066890841","-8.5900037867667","-3.6906535095885","-5.3588257753334","-4.6465430516334","-1.6152181829867","0.35164500185074","2.2776831530642","0.84220351837413","1.8891243866394","1.7240222367898","1.6293454709676",""
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","15.820664658835","8.237194911131","-0.66052913920636","11.533003384437","9.140252793131","2.9180578760903","-9.0707883700479","-6.836564671012","1.3709646884254","-2.2908109929645","4.7057345036199","-0.49352148696376","5.6053024439593","2.3668841756244","13.10907563752","1.5214207643168","4.9906147167299","3.2709576365608","3.2058648593261","2.7499179704761","4.5940037376152","4.2563579676198","5.2660230723715","1.7955129621485","5.4780923637805","1.5844236076492","0.58376472675023","5.3229629244816","9.310814054942","5.748228830818","6.4975008067636","4.5741249507146","5.8224533632669","0.42642263537687","4.768836618621","3.6295988698139","6.658109667815","3.1685569162591","2.4395284167468","3.3063462622155","3.372624384384","0.83243549938337","2.045975654413",""
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.526856506015","21.439330170199","-1.589603319916","20.923573077015","23.874774910498","4.6591766740652","-6.7193161857078","-4.7458206999658","4.0169512795941","-3.5944765173684","-14.958136564533","3.3819817090088","-2.6189077038328","12.33789128226","18.327985533641","0.86008194577822","3.3449448618412","1.2611909514972","6.8961485505267","6.6878864636294","5.7984040613216","8.1903986407705","0.29199434868544","2.902213644646","10.852704212599","1.3990850303263","2.4334568103616","8.8005408148643","9.5664366371616","4.855141196309","9.8373197734849","3.1843901736724","3.1918362761038","-5.2429219066759","1.6028099606823","6.9302716294384","4.4846260849087","5.0533458252665","4.2843036891131","5.1059369843856","3.0609643046671","0.49086076097777","1.7263493429254",""
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.4278428795125","-0.85202152348197","-5.3081968265173","10.130297661434","10.569433340343","-0.6597261715937","3.1919966233703","4.8225007815865","9.679526008069","3.0456433190033","5.6581310831804","1.6284165162551","2.8117540409578","5.5338043948322","-0.028412102767092","-2.0182515166757","6.9341477553798","-4.5061248024769","10.222763464873","1.5187839494046","-5.1897891400539","-0.7356591616273","4.3490932795742","1.5707387022301","-5.1890243521553","6.1533770627456","2.7048688260089","-1.0899333417313","-7.1569496555497","-2.4672137763746","9.133110566201","7.9372915564308","8.2069790722123","5.8362007036853","-2.8452096105708","5.5266898271523","8.1110467707457","3.8501788515623","-3.3854570406327","-0.78899893905691","-4.4088396825856","-10.89448482859","8.8370407957692","9.0295733006815","8.8516599201344","8.0471515004303","9.0076508750476","4.0572331034641","-5.9185250763495","10.1253981561","6.0039516928058","-1.0264204544321","2.4053237807944","-2.512615320814","2.7311598282895","-2.0803278437781","2.668590379353","-2.4817924450927",""
"Armenia","ARM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.699998484921","-41.80000274472","-8.7999987941624","5.4000027827738","6.8999984155401","5.8654007509053","3.3210796982684","7.2999999893133","3.3000000019907","5.9000000010354","9.5566414998066","13.186300530456","14.040795055214","10.467841856003","13.865711253734","13.198003518068","13.749201957614","6.9000000020479","-14.14998863934","2.1999999975265","4.6999999987978","7.2000000036584","3.3","3.6000000005899","3.1999999989662","0.19999999982599","7.5000000016414","5.1999999996532",""
"American Samoa","ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81411126187243","0.53835800807538","-0.40160642570282","-4.1666666666667","1.9635343618513","-2.6134800550206","-4.2372881355932","0.44247787610618","0.29368575624082","-4.3923865300146","-2.7565084226646","0.94488188976381","1.4040561622465","-2.7692307692308","-5.8544303797468","2.1848739495798",""
